Date,Timing,Activity,Link
02,03:00 AM,Iyengar yoga-Restorative - drop in- with Nadia,https://events.auroville.org.in/events/8439
02,03:00 AM, Yoga - Balance & Strength - with Aishwarya at Vérité ,https://events.auroville.org.in/events/8776
02,06:30 AM,Tai Ji Quan with Lhamo,https://events.auroville.org.in/events/16045
02,07:00 AM,Yoga and Awareness with Suryamayi,https://events.auroville.org.in/events/16591
02,07:15 AM,Yoga and Meditation Retreat,https://events.auroville.org.in/events/16499
02,07:15 AM,Ashtanga Yoga with  CHRISTINE,https://events.auroville.org.in/events/8538
02,07:30 AM,Iyengar yoga -  level 1-with Tatiana ,https://events.auroville.org.in/events/16127
02,07:30 AM,HOLISTIC Present : Ashtanga Yoga with  CHRISTINE- Mysore Style (Patthabi-Jois institute),https://events.auroville.org.in/events/16280
02,07:30 AM,HOLISTIC: Ashtanga Yoga - Mysore Style ( Patthabis Jois institute) ,https://events.auroville.org.in/events/16470
02,07:30 AM,Pilates with Teresa,https://events.auroville.org.in/events/16199
02,07:30 AM,"Kundalini Yoga as taught by Yogi Bhajan,  krillas with asanas, pranyamas, mudras, mantras and meditation",https://events.auroville.org.in/events/16380
02,08:00 AM,“les yeux de soleil” “sun eyes” Painting Exhibition By Louis,https://events.auroville.org.in/events/16536
02,08:00 AM,Yoga of touch (Full body oil massage for women) with Laurence ,https://events.auroville.org.in/events/16256
02,08:51 AM,JIVA- Integral regression therapy with Sigrid,https://events.auroville.org.in/events/16079
02,08:55 AM,JIVA- Acupuncture and Traditional Chinese medicine with Andres,https://events.auroville.org.in/events/16078
